Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,race,AirTemp,TrackTemp
0 days 02:22:22.706000,NOR,4,0 days 00:01:35.378000,48.0,3.0,,,0 days 00:00:35.632000,0 days 00:00:29.909000,0 days 00:00:29.837000,0 days 02:21:23.066000,0 days 02:21:52.975000,0 days 02:22:22.812000,287.0,321.0,306.0,316.0,False,MEDIUM,29.0,True,McLaren,0 days 02:20:47.328000,2023-03-19 18:21:47.414,1,17.0,False,,False,True,2023 Saudi Arabia,26.0,30.1
0 days 02:22:31.990000,PER,11,0 days 00:01:33.306000,49.0,2.0,,,0 days 00:00:34.169000,0 days 00:00:29.538000,0 days 00:00:29.599000,0 days 02:21:32.986000,0 days 02:22:02.524000,0 days 02:22:32.123000,,310.0,299.0,318.0,False,HARD,31.0,True,Red Bull Racing,0 days 02:20:58.684000,2023-03-19 18:21:58.770,1,1.0,False,,False,True,2023 Saudi Arabia,26.0,30.1
0 days 02:22:39.137000,VER,1,0 days 00:01:33.835000,49.0,2.0,,,0 days 00:00:34.363000,0 days 00:00:29.448000,0 days 00:00:30.024000,0 days 02:21:39.761000,0 days 02:22:09.209000,0 days 02:22:39.233000,291.0,305.0,299.0,299.0,False,HARD,31.0,True,Red Bull Racing,0 days 02:21:05.302000,2023-03-19 18:22:05.388,1,2.0,False,,False,True,2023 Saudi Arabia,26.0,30.1
0 days 02:22:54.195000,ALO,14,0 days 00:01:32.815000,49.0,2.0,,,0 days 00:00:34.046000,0 days 00:00:29.224000,0 days 00:00:29.545000,0 days 02:21:55.559000,0 days 02:22:24.783000,0 days 02:22:54.328000,287.0,308.0,293.0,299.0,False,HARD,32.0,False,Aston Martin,0 days 02:21:21.380000,2023-03-19 18:22:21.466,1,3.0,False,,False,True,2023 Saudi Arabia,26.0,30.1
0 days 02:22:59.120000,RUS,63,0 days 00:01:33.135000,49.0,2.0,,,0 days 00:00:34.245000,0 days 00:00:29.248000,0 days 00:00:29.642000,0 days 02:22:00.366000,0 days 02:22:29.614000,0 days 02:22:59.256000,288.0,309.0,293.0,305.0,False,HARD,31.0,True,Mercedes,0 days 02:21:25.985000,2023-03-19 18:22:26.071,1,4.0,False,,False,True,2023 Saudi Arabia,26.0,30.1
0 days 02:22:59.753000,BOT,77,0 days 00:01:36.607000,48.0,4.0,,,0 days 00:00:35.366000,0 days 00:00:29.877000,0 days 00:00:31.364000,0 days 02:21:58.636000,0 days 02:22:28.513000,0 days 02:22:59.877000,282.0,295.0,303.0,301.0,False,SOFT,13.0,True,Alfa Romeo,0 days 02:21:23.146000,2023-03-19 18:22:23.232,1,18.0,False,,False,True,2023 Saudi Arabia,26.0,30.1
0 days 02:23:03.765000,HAM,44,0 days 00:01:33.537000,49.0,2.0,,,0 days 00:00:34.370000,0 days 00:00:29.437000,0 days 00:00:29.730000,0 days 02:22:04.698000,0 days 02:22:34.135000,0 days 02:23:03.865000,285.0,306.0,295.0,302.0,False,MEDIUM,31.0,True,Mercedes,0 days 02:21:30.228000,2023-03-19 18:22:30.314,1,5.0,False,,False,True,2023 Saudi Arabia,26.0,30.0
0 days 02:23:08.782000,SAI,55,0 days 00:01:33.564000,49.0,2.0,,,0 days 00:00:34.465000,0 days 00:00:29.499000,0 days 00:00:29.600000,0 days 02:22:09.793000,0 days 02:22:39.292000,0 days 02:23:08.892000,287.0,299.0,294.0,307.0,False,HARD,34.0,True,Ferrari,0 days 02:21:35.218000,2023-03-19 18:22:35.304,1,6.0,False,,False,True,2023 Saudi Arabia,26.0,30.0
0 days 02:23:12.651000,LEC,16,0 days 00:01:33.942000,49.0,2.0,,,0 days 00:00:34.450000,0 days 00:00:29.716000,0 days 00:00:29.776000,0 days 02:22:13.241000,0 days 02:22:42.957000,0 days 02:23:12.733000,,301.0,293.0,310.0,False,HARD,33.0,True,Ferrari,0 days 02:21:38.709000,2023-03-19 18:22:38.795,1,7.0,False,,False,True,2023 Saudi Arabia,26.0,30.0
0 days 02:23:24.218000,OCO,31,0 days 00:01:33.222000,49.0,2.0,,,0 days 00:00:34.178000,0 days 00:00:29.490000,0 days 00:00:29.554000,0 days 02:22:25.279000,0 days 02:22:54.769000,0 days 02:23:24.323000,,296.0,291.0,311.0,True,HARD,33.0,True,Alpine,0 days 02:21:50.996000,2023-03-19 18:22:51.082,1,8.0,False,,False,True,2023 Saudi Arabia,26.0,30.0
