Compound,AirTemp,TrackTemp,Driver,race,LapTimeSeconds
HARD,22.8,32.5,OCO,2023 Austria,70.919
HARD,22.8,32.5,STR,2023 Austria,71.612
HARD,22.8,32.5,TSU,2023 Austria,72.89
HARD,22.8,32.5,MAG,2023 Austria,73.339
HARD,22.8,32.5,SAR,2023 Austria,72.18
HARD,22.8,32.5,ZHO,2023 Austria,71.33
HARD,22.8,32.5,PIA,2023 Austria,77.056
HARD,22.8,32.5,DEV,2023 Austria,71.238
MEDIUM,22.8,32.5,VER,2023 Austria,70.396
MEDIUM,22.8,32.5,BOT,2023 Austria,98.722
MEDIUM,22.7,32.6,LEC,2023 Austria,69.853
MEDIUM,22.7,32.6,SAI,2023 Austria,70.005
MEDIUM,22.7,32.6,PER,2023 Austria,70.62
HARD,22.7,32.6,HAM,2023 Austria,70.687
HARD,22.7,32.6,NOR,2023 Austria,70.481
MEDIUM,22.7,32.6,ALO,2023 Austria,70.426
HARD,22.7,32.6,GAS,2023 Austria,70.592
HARD,22.7,32.6,RUS,2023 Austria,70.796
HARD,22.7,32.6,ALB,2023 Austria,71.05
HARD,22.7,32.6,OCO,2023 Austria,71.129
HARD,22.7,32.6,STR,2023 Austria,70.767
HARD,22.7,32.6,MAG,2023 Austria,72.395
HARD,22.7,32.6,SAR,2023 Austria,71.793
HARD,22.7,32.6,TSU,2023 Austria,75.745
HARD,22.7,32.6,ZHO,2023 Austria,71.74
HARD,22.7,32.6,DEV,2023 Austria,71.547
MEDIUM,22.7,32.6,VER,2023 Austria,73.519
HARD,22.7,32.6,PIA,2023 Austria,96.077
MEDIUM,22.7,32.6,BOT,2023 Austria,70.22
MEDIUM,22.7,32.6,LEC,2023 Austria,69.956
MEDIUM,22.7,32.6,SAI,2023 Austria,70.001
MEDIUM,22.7,32.6,PER,2023 Austria,70.377
HARD,22.7,32.6,HAM,2023 Austria,70.575
HARD,22.7,32.6,NOR,2023 Austria,70.532
MEDIUM,22.7,32.6,ALO,2023 Austria,70.314
HARD,22.7,32.6,GAS,2023 Austria,70.345
HARD,22.7,32.6,RUS,2023 Austria,70.712
HARD,22.7,32.6,ALB,2023 Austria,70.931
HARD,22.7,32.6,OCO,2023 Austria,71.02
HARD,22.7,32.6,STR,2023 Austria,70.891
HARD,22.7,32.6,MAG,2023 Austria,71.855
HARD,22.7,32.6,SAR,2023 Austria,71.594
HARD,22.7,32.6,ZHO,2023 Austria,71.348
HARD,22.7,32.5,DEV,2023 Austria,71.361
HARD,22.7,32.5,TSU,2023 Austria,94.099
HARD,22.7,32.5,PIA,2023 Austria,70.322
MEDIUM,22.7,32.5,BOT,2023 Austria,70.594
MEDIUM,22.7,32.5,LEC,2023 Austria,69.86
MEDIUM,22.7,32.5,SAI,2023 Austria,69.963
HARD,22.7,32.5,VER,2023 Austria,86.769
HARD,22.7,32.5,HAM,2023 Austria,70.712
HARD,22.7,32.5,NOR,2023 Austria,70.369
MEDIUM,22.7,32.5,PER,2023 Austria,74.401
MEDIUM,22.7,32.5,ALO,2023 Austria,70.28
HARD,22.7,32.5,GAS,2023 Austria,70.541
HARD,22.7,32.5,RUS,2023 Austria,70.454
HARD,22.7,32.5,ALB,2023 Austria,70.822
HARD,22.7,32.5,OCO,2023 Austria,70.796
HARD,22.7,32.5,STR,2023 Austria,70.691
HARD,22.7,32.5,SAR,2023 Austria,71.563
HARD,22.7,32.5,MAG,2023 Austria,73.001
HARD,22.7,32.5,ZHO,2023 Austria,71.684
HARD,22.7,32.5,DEV,2023 Austria,71.397
HARD,22.7,32.5,TSU,2023 Austria,70.08
MEDIUM,22.7,32.5,BOT,2023 Austria,69.977
HARD,22.7,32.5,PIA,2023 Austria,71.442
MEDIUM,22.7,32.5,LEC,2023 Austria,69.905
HARD,22.7,32.5,VER,2023 Austria,68.929
MEDIUM,22.7,32.5,SAI,2023 Austria,70.65
HARD,22.7,32.5,HAM,2023 Austria,70.271
